                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1782,                 7.2347,                 2.3909,                0.00228,                0.68421,                0.04063,                0.00766,                 1.9691,                  6.522,                 2.5217,                  2e-05,                  2e-05,                  2e-05
                      1,                 1.4986,                 5.7413,                 1.7225,                0.00246,                0.73684,                0.03591,                0.00726,                  1.968,                 6.4584,                 2.5358,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      2,                 1.4484,                 4.7661,                 1.6965,                0.00281,                0.84211,                0.05646,                0.01435,                 1.8179,                 6.2298,                  2.464,              9.802e-05,              9.802e-05,              9.802e-05
                      3,                 1.4398,                 5.1877,                 1.7641,                0.00316,                0.94737,                0.09639,                0.02588,                 1.5665,                 5.6852,                  2.124,             0.00013584,             0.00013584,             0.00013584
                      4,                 1.4207,                 5.4249,                 1.4755,                0.00333,                      1,                0.63132,                0.31527,                 1.0249,                 5.0597,                 1.3658,             0.00017287,             0.00017287,             0.00017287
                      5,                 1.1623,                 4.0134,                 1.3015,                0.00333,                      1,                0.90206,                0.64875,                0.74792,                 4.4618,                  1.119,             0.00020911,             0.00020911,             0.00020911
                      6,                0.77728,                 3.2192,                 1.0926,                0.00333,                      1,                0.95285,                0.72629,                0.53744,                 4.2279,                0.98364,             0.00024456,             0.00024456,             0.00024456
                      7,                0.70027,                 2.6617,                 1.0295,                0.00333,                      1,                 0.9863,                0.75792,                0.57333,                 4.2697,                0.97968,             0.00027921,             0.00027921,             0.00027921
                      8,                0.82793,                  3.013,                   1.22,                0.00333,                      1,                0.98195,                0.79029,                0.51828,                 4.1437,                0.95711,             0.00031307,             0.00031307,             0.00031307
                      9,                0.75281,                 2.4825,                 1.0531,                0.00333,                      1,                0.97638,                0.78783,                 0.5422,                 4.1264,                0.97968,             0.00034614,             0.00034614,             0.00034614
                     10,                0.83766,                  2.594,                 1.2019,                0.00333,                      1,                0.94892,                0.77357,                0.50163,                 4.1584,                0.97435,             0.00037842,             0.00037842,             0.00037842
                     11,                0.77014,                 2.3917,                 1.1039,                0.00333,                      1,                0.96228,                0.73898,                0.53235,                 4.1278,                 1.0053,             0.00040991,             0.00040991,             0.00040991
                     12,                0.72045,                  2.867,                 1.2855,                0.00454,                      1,                0.98195,                0.74595,                0.59649,                 4.1533,                 1.0248,              0.0004406,              0.0004406,              0.0004406
                     13,                0.60169,                 2.2178,                0.91245,                0.00333,                      1,                  0.983,                0.74527,                0.59556,                 4.1931,                 1.0004,              0.0004705,              0.0004705,              0.0004705
                     14,                0.76131,                 2.3808,                 1.1969,                0.00333,                      1,                 0.9925,                0.79676,                0.47178,                  4.102,                0.95188,             0.00049961,             0.00049961,             0.00049961
                     15,                 0.7814,                 2.6446,                 1.2465,                0.00484,                      1,                0.99024,                0.80081,                0.53959,                 4.1193,                0.99342,             0.00052793,             0.00052793,             0.00052793
